height,weight,highestEducation,wages,drinkingOrSmoke,Appearance,dressStyle,lovers,sports,tatoo,houses,hookUp,judgement
176.7,70.6,1,5,1,4,3,2,0,7,0,0,2
179.3,70.5,2,2,3,6,1,2,3,0,1,0,1
178.2,62.9,2,2,1,5,1,0,0,6,0,0,0
171.1,65.7,3,1,1,6,2,2,2,0,0,0,1
183.2,71.7,1,2,1,3,3,2,1,0,0,1,0
170.7,58.9,2,2,0,5,3,1,2,0,1,1,1
173.6,64.9,1,4,2,6,2,0,0,0,1,1,1
174.2,66.3,1,1,0,4,2,0,1,0,0,0,0
161.3,66.0,2,0,0,4,1,1,0,7,0,0,0
174.2,71.2,2,2,3,6,2,0,0,4,0,0,1
169.8,69.1,2,4,0,6,3,1,2,2,1,0,1
173.9,66.5,1,0,1,4,3,1,1,10,0,0,0
171.2,76.2,1,2,0,6,2,1,1,3,0,1,1
162.5,65.2,1,2,0,4,2,1,1,10,1,0,0
168.2,61.3,1,2,1,5,3,1,2,7,3,0,2
172.6,65.8,1,3,1,4,3,2,2,0,3,1,2
178.2,64.7,2,2,1,4,2,0,2,0,0,0,0
178.8,65.0,2,5,1,4,1,1,3,0,0,0,2
169.8,65.5,2,0,1,5,3,1,2,6,2,0,1
172.5,66.3,2,0,3,6,1,1,1,6,1,0,1
172.5,56.1,2,2,2,7,2,1,1,0,0,0,2
166.6,64.4,3,2,1,6,3,1,3,8,0,0,1
176.7,65.4,3,0,1,6,1,2,1,8,2,1,1
177.7,57.3,2,1,1,5,3,0,0,0,0,0,0
179.7,57.9,0,2,1,4,3,2,2,1,0,0,0
174.4,50.2,3,3,1,7,3,0,0,0,0,1,2
172.3,62.9,1,2,1,5,2,0,2,0,0,3,0
181.1,59.9,2,1,0,4,1,0,0,0,0,0,0
173.6,59.9,3,2,2,6,1,1,1,10,0,0,1
178.8,70.2,2,0,0,3,1,1,2,0,1,0,0
176.1,64.5,1,2,1,6,2,1,3,0,1,1,1
170.1,65.1,3,2,2,5,1,0,3,3,1,0,0
171.8,59.0,3,2,1,4,3,0,0,0,3,0,2
173.0,59.6,1,2,0,5,2,0,0,0,1,0,0
169.2,62.7,1,0,1,5,3,0,0,0,1,1,0
172.6,69.8,1,2,0,5,2,1,1,8,1,0,0
170.0,65.9,0,1,2,5,1,1,1,0,0,0,0
159.1,59.9,0,2,1,5,3,2,2,0,1,0,0
178.4,71.4,2,4,1,6,2,1,1,0,2,0,1
172.1,64.6,2,2,0,6,3,2,1,2,0,0,1
178.0,60.0,2,2,1,5,1,0,0,10,3,1,2
172.4,65.5,0,2,1,5,2,1,2,8,0,0,0
175.0,68.3,2,2,1,5,2,1,2,0,3,1,2
171.9,64.9,3,3,0,6,2,1,0,0,0,1,1
176.7,63.5,1,2,1,5,1,1,0,0,2,0,1
173.7,49.7,2,5,1,4,3,1,1,0,1,0,2
172.5,59.6,1,2,0,3,2,0,0,0,1,1,0
171.0,55.4,3,2,0,5,3,1,2,0,0,0,0
169.5,71.4,1,4,3,4,3,1,3,0,1,1,1
175.5,58.1,3,0,0,6,1,1,0,7,1,0,1
178.6,62.5,2,2,1,7,3,0,1,3,3,0,2
171.9,67.1,2,2,1,7,2,3,2,0,0,0,2
173.7,64.2,1,2,1,6,2,0,0,0,1,0,1
174.9,54.8,2,1,2,6,3,1,1,0,0,1,1
172.5,58.4,0,0,1,5,2,2,1,0,1,0,0
171.3,73.0,1,1,0,5,3,1,0,0,1,0,0
170.9,59.0,2,2,3,5,2,0,1,1,0,2,0
175.2,58.3,1,2,1,4,2,1,0,9,1,0,0
179.2,67.4,1,2,3,4,3,1,1,0,0,0,0
163.7,64.0,2,1,1,6,2,1,2,3,0,0,1
168.2,64.2,3,4,0,4,2,1,1,0,1,0,1
173.1,64.0,2,5,0,5,3,1,2,0,0,0,2
171.9,68.9,2,2,1,6,2,2,0,0,1,1,1
176.4,59.1,1,1,1,4,3,0,2,3,1,0,0
172.2,64.7,3,2,1,5,1,0,0,0,3,3,2
170.8,72.2,1,2,1,5,1,1,1,0,1,0,0
178.2,59.1,2,2,0,5,1,1,1,0,0,0,0
176.3,67.5,4,2,2,5,3,0,2,9,1,0,0
172.1,55.4,1,5,0,5,1,0,1,0,0,0,2
167.5,58.2,3,4,0,6,1,3,1,0,0,0,1
169.7,70.9,2,2,2,4,1,3,2,8,2,1,1
170.2,56.6,1,2,3,5,2,2,1,0,0,1,0
173.4,67.9,2,2,3,4,3,2,0,7,0,1,0
171.2,64.9,0,1,1,5,1,2,2,0,0,0,0
178.0,64.3,1,4,3,4,1,0,0,0,0,0,1
161.8,62.7,2,1,2,4,3,1,1,0,1,0,0
173.2,57.5,1,4,1,5,3,2,2,4,1,0,1
178.6,64.9,1,2,1,4,3,1,0,0,0,3,0
173.7,68.3,2,4,1,5,2,1,0,0,1,0,1
182.3,75.2,1,2,1,5,2,0,1,1,1,0,0
171.7,63.8,2,0,1,6,3,1,1,0,0,0,1
176.5,65.4,3,2,1,4,3,0,0,10,2,0,1
172.1,69.6,4,3,0,4,3,1,2,0,1,1,1
183.2,60.8,2,0,1,5,2,1,2,0,0,1,1
172.8,60.4,4,4,0,4,1,0,2,0,1,1,1
173.6,64.1,2,2,3,4,1,1,1,0,2,1,1
172.1,63.9,2,2,0,6,2,3,1,0,1,1,1
163.7,62.6,2,2,1,5,1,1,1,9,1,0,0
175.8,67.1,2,3,2,6,3,0,2,0,0,0,1
174.6,57.2,2,2,1,6,3,1,2,0,0,0,1
177.8,66.7,2,2,3,5,1,0,2,4,0,3,0
172.3,68.3,1,2,1,6,1,1,1,0,0,0,1
176.7,68.4,1,2,0,4,1,1,0,0,0,1,0
180.9,62.5,1,2,1,6,3,0,3,9,0,0,2
168.1,66.7,2,2,3,6,2,1,0,0,2,1,1
176.3,66.4,3,2,1,5,3,2,0,0,1,0,0
189.2,62.4,1,2,1,6,3,1,0,10,1,0,1
168.3,65.1,0,0,1,7,3,1,0,7,0,0,2
168.2,64.9,2,0,1,4,3,0,0,0,0,0,0
167.9,68.4,1,4,1,7,2,1,0,0,0,0,2
175.3,63.6,2,3,1,5,3,0,1,0,2,0,1
171.8,63.0,0,1,1,5,3,0,2,4,1,0,0
170.6,58.4,3,2,0,6,2,2,0,5,0,0,1
175.9,62.4,1,4,1,5,3,1,2,0,2,0,1
171.8,58.0,2,2,0,4,1,1,0,0,1,1,0
176.1,63.5,2,2,1,4,1,1,3,0,0,0,0
170.3,64.6,2,2,1,7,3,1,3,1,0,1,2
187.7,63.5,2,4,1,6,3,1,1,0,0,0,1
170.5,71.1,2,0,0,6,1,0,1,7,1,1,1
180.8,64.6,2,2,1,5,2,0,1,0,2,1,1
171.7,62.0,2,2,1,4,3,2,1,0,0,0,0
183.1,60.3,2,5,1,7,1,1,1,10,0,1,2
177.7,68.9,2,2,2,6,1,1,2,0,2,1,1
176.0,57.9,1,2,3,3,2,2,2,0,1,0,0
173.4,58.1,2,1,1,5,3,1,3,9,1,0,0
159.2,54.4,1,2,1,5,1,2,2,0,0,0,0
172.0,70.9,3,2,1,5,3,0,2,8,1,0,0
173.1,56.7,2,2,0,6,2,1,3,0,1,0,1
174.7,68.9,1,4,1,5,1,2,2,9,0,0,1
171.8,69.6,1,0,3,7,1,0,1,9,2,0,2
180.0,69.2,1,0,0,5,1,0,3,0,1,0,2
176.8,67.4,4,2,1,3,3,1,1,0,1,0,0
178.8,73.3,1,4,0,4,3,1,0,0,0,0,1
177.1,64.7,1,0,1,7,3,2,1,0,1,0,2
178.0,63.4,2,2,3,5,3,0,0,0,0,1,0
178.1,58.7,3,3,1,4,3,0,0,0,1,0,0
171.6,58.1,1,2,1,6,1,0,0,10,1,1,1
175.2,64.0,2,4,1,6,2,1,1,1,0,1,1
173.1,59.4,2,3,1,4,2,1,2,8,0,1,1
174.8,59.4,2,2,1,6,2,1,0,0,1,0,1
184.8,60.5,1,0,1,5,2,1,0,5,0,0,0
168.1,66.9,1,1,1,4,3,1,0,7,1,0,0
177.8,73.2,2,2,1,4,1,0,1,0,1,0,0
173.5,71.5,2,2,0,6,3,1,0,10,3,0,2
165.8,71.3,2,2,3,7,2,1,2,0,1,2,2
181.9,70.0,1,2,1,5,2,3,1,0,1,2,0
168.3,62.7,2,2,1,5,1,1,2,0,0,0,0
175.4,69.9,0,2,1,6,3,0,1,7,0,0,1
173.4,65.4,2,2,1,3,1,1,0,0,2,0,1
179.2,59.8,1,5,1,5,1,1,1,0,0,1,2
172.7,67.8,2,3,1,5,2,1,2,0,1,1,1
166.4,61.5,2,2,3,4,1,1,3,1,1,0,0
177.4,68.7,1,2,3,7,1,2,0,0,2,0,2
170.9,68.0,2,5,1,6,3,3,0,8,1,0,2
168.5,61.1,1,0,1,4,1,2,0,0,1,0,0
176.6,64.2,1,4,1,7,2,0,3,7,1,0,2
184.3,66.8,2,2,3,4,2,1,2,0,0,0,0
174.3,60.1,3,3,0,6,2,2,3,6,1,0,1
176.4,74.9,3,4,0,4,3,0,3,0,1,0,1
172.7,58.0,2,0,1,5,1,2,1,0,0,0,0
177.6,62.8,4,2,0,4,1,0,1,1,2,0,1
170.8,58.7,2,1,2,5,1,1,1,0,1,1,0
182.3,62.4,2,5,2,4,3,1,1,2,1,0,2
175.2,63.1,2,2,0,5,1,0,2,0,0,0,0
173.9,69.3,1,2,0,5,2,0,0,0,1,0,0
170.7,68.9,2,2,1,7,3,3,2,0,0,0,2
179.3,59.2,0,0,1,6,3,1,0,0,0,1,1
171.6,74.1,4,2,1,6,3,1,0,0,1,0,1
175.5,60.2,2,2,1,5,3,0,0,1,0,0,0
166.6,64.4,1,2,3,7,3,1,2,2,0,0,2
178.0,74.5,2,5,0,4,2,1,2,0,3,3,2
175.1,74.8,4,3,1,6,3,0,1,3,1,1,1
182.4,61.2,1,0,0,4,3,2,0,7,3,1,2
179.9,57.7,0,0,1,6,1,1,3,0,2,0,1
167.6,70.4,4,1,2,5,2,1,0,0,3,1,2
181.9,59.3,2,2,3,4,2,1,1,0,1,1,0
166.8,69.6,2,2,1,4,3,0,2,10,3,1,2
172.9,60.8,4,2,3,4,2,0,0,0,1,0,0
161.6,70.1,2,2,2,4,1,1,1,0,1,0,0
171.6,59.6,3,2,1,6,2,1,2,8,1,0,1
182.7,59.2,0,2,3,8,3,0,1,0,1,1,2
167.6,69.7,2,0,1,4,2,0,0,0,0,0,0
166.5,59.3,1,1,1,4,3,0,0,8,0,0,0
175.0,57.1,1,3,1,4,2,2,0,0,0,0,0
171.8,61.0,1,1,3,3,1,0,1,0,1,0,0
170.3,57.9,2,0,1,6,2,2,0,0,1,0,1
174.2,66.0,0,1,1,4,1,2,1,10,0,2,0
177.1,69.5,2,2,1,4,3,1,0,0,0,0,0
165.7,60.7,3,0,3,5,1,0,1,2,0,0,0
175.2,60.6,3,0,0,7,3,1,2,5,0,0,2
183.9,58.7,1,0,3,5,1,0,0,0,3,0,2
174.3,65.5,2,1,3,5,2,1,0,2,1,1,0
171.8,55.2,2,2,0,6,3,2,1,0,1,0,1
172.6,60.3,3,0,1,6,1,1,0,8,0,0,1
168.6,59.6,1,4,0,4,1,1,1,5,0,1,1
171.4,65.9,2,0,2,6,1,1,1,8,0,0,1
178.9,65.3,2,1,3,4,3,0,2,4,1,0,0
170.9,66.0,3,2,1,6,3,1,2,5,2,1,1
177.1,58.1,2,0,1,6,1,0,0,0,2,0,1
174.9,65.2,1,2,1,5,3,1,3,0,1,0,0
175.6,59.8,3,3,2,5,1,0,0,0,1,1,0
164.3,63.2,2,2,3,4,1,3,0,0,0,1,0
174.7,64.5,1,4,1,6,3,1,2,0,3,0,2
177.9,62.1,3,1,1,5,2,1,0,0,0,1,0
175.5,60.3,1,2,2,6,1,1,2,1,0,0,1
172.5,56.7,4,5,0,6,1,2,1,0,1,0,2
171.9,69.2,2,0,3,6,2,1,2,0,1,0,1
171.2,69.7,2,2,0,6,2,0,1,5,0,0,1
176.4,57.7,3,4,1,6,3,1,1,7,1,0,1
161.8,66.7,2,5,1,4,1,3,2,5,2,1,2
173.0,61.3,4,2,1,5,2,3,0,0,0,0,0
173.0,62.6,1,2,1,4,2,1,1,1,1,0,0
172.5,68.6,4,1,2,4,3,1,0,0,1,1,0
168.8,60.9,2,0,0,6,2,0,2,10,1,1,1
172.1,67.3,1,0,1,6,2,2,3,0,1,0,1
177.3,62.7,1,4,0,5,2,0,1,6,1,0,1
183.0,61.2,1,4,2,4,3,2,1,0,1,1,1
175.2,64.2,1,2,1,6,3,1,0,0,1,0,1
176.6,60.3,1,0,0,4,3,0,3,2,1,0,0
173.5,59.1,3,1,1,5,1,2,0,8,2,0,1
172.7,61.7,2,1,1,7,1,1,0,0,1,0,2
174.6,68.3,3,2,3,5,3,0,1,0,3,1,2
175.2,58.7,1,3,0,5,2,1,1,0,0,1,0
169.0,61.7,3,2,2,5,2,1,1,6,1,0,0
174.5,65.6,2,0,1,7,3,1,1,0,1,0,2
171.0,63.0,2,2,0,5,2,1,1,2,2,0,1
179.4,67.6,2,2,1,2,1,0,2,0,1,0,0
177.3,60.8,1,0,1,5,2,1,0,0,0,0,0
181.9,63.9,2,2,3,3,1,2,0,6,2,1,1
172.7,75.2,3,0,3,5,1,2,0,0,1,0,0
180.1,64.1,2,5,3,5,3,1,2,6,0,0,2
169.9,67.0,2,2,0,6,3,1,0,0,1,0,1
175.0,56.7,1,2,1,5,1,2,1,6,1,0,0
176.6,58.6,0,2,1,5,1,1,1,0,0,0,0
175.4,66.5,2,4,1,6,1,1,2,0,0,0,1
173.3,76.4,1,2,1,6,1,0,2,0,1,0,1
175.5,60.9,2,2,1,5,2,0,2,0,2,0,1
180.6,59.5,2,4,1,4,3,0,0,7,3,1,2
181.1,53.4,2,2,3,7,1,1,2,7,1,0,2
166.1,58.2,3,4,1,6,1,1,2,5,0,1,1
172.3,64.9,2,1,1,5,1,3,3,0,1,0,0
167.9,67.7,1,2,3,4,3,0,0,0,1,0,0
167.4,69.3,2,0,1,6,1,1,0,0,2,0,1
171.9,69.0,2,2,2,5,3,0,1,7,0,0,0
170.2,63.5,4,2,3,6,3,0,0,0,0,0,1
181.0,63.1,2,2,0,5,2,2,1,0,1,0,0
167.8,63.3,2,2,1,6,2,0,2,0,1,0,1
169.8,65.5,3,1,2,5,1,2,1,7,2,0,1
181.8,57.0,2,2,1,6,3,2,1,0,1,0,1
172.7,71.0,2,2,3,5,1,3,0,0,1,0,0
175.9,61.1,2,2,3,7,2,0,1,0,1,1,2
180.5,65.6,0,2,1,6,1,0,3,0,1,1,2
174.0,65.1,2,2,1,5,1,1,1,0,0,0,0
167.4,69.9,2,2,1,5,1,1,0,0,1,0,0
180.2,66.0,1,0,0,5,1,0,2,4,0,0,0
172.0,68.9,1,5,1,5,3,1,1,0,0,0,2
168.4,66.5,2,2,1,6,2,1,1,0,0,0,1
171.0,63.3,1,2,3,4,1,1,2,0,0,2,0
179.8,67.8,1,2,1,5,1,1,1,9,0,0,0
173.5,59.7,2,2,1,5,3,3,2,0,1,2,0
170.9,54.9,1,1,1,4,3,2,3,5,2,1,1
169.9,61.9,3,0,1,6,1,2,0,0,1,0,1
182.2,74.4,1,4,3,6,3,1,1,0,1,1,1
161.9,56.4,1,5,1,5,2,2,1,0,0,1,2
170.2,67.5,1,5,3,4,1,0,1,0,0,0,2
172.5,66.4,2,0,3,6,2,0,2,0,1,0,1
175.0,65.7,1,2,2,6,1,1,2,0,0,0,1
175.2,64.9,2,1,2,6,2,1,2,0,3,0,2
170.1,61.5,1,2,3,5,1,0,0,0,1,1,0
175.4,66.8,4,2,1,6,2,2,0,0,1,0,1
168.9,72.9,3,2,1,7,3,1,2,0,1,0,2
170.2,71.0,3,2,3,5,1,0,2,4,0,1,0
170.9,56.7,2,1,1,6,1,2,1,0,1,0,1
172.5,65.6,2,2,3,5,1,0,1,0,1,0,0
173.6,64.8,1,2,1,5,3,1,1,0,3,1,2
169.9,68.6,1,4,1,5,1,2,2,0,1,0,1
175.7,68.9,2,0,1,5,2,1,0,0,0,1,0
174.5,66.0,2,4,2,4,2,1,1,0,2,0,1
173.8,69.1,2,1,3,4,3,2,0,2,0,0,0
171.8,62.6,2,5,1,6,3,2,1,0,0,0,2
166.6,64.5,4,1,3,6,2,1,0,0,2,0,1
174.3,73.1,2,0,1,4,3,1,2,7,1,1,0
164.2,62.2,2,2,0,7,3,2,2,5,2,0,2
174.8,70.7,2,2,1,5,1,1,1,0,1,0,0
178.7,67.4,2,2,1,5,2,1,0,0,1,0,0
178.3,61.2,1,2,3,4,2,2,0,7,1,0,0
180.5,64.7,2,2,1,3,3,1,1,0,1,0,0
174.2,68.5,2,2,1,5,1,1,1,0,1,1,0
178.5,71.4,1,3,1,5,1,0,3,0,0,0,0
183.9,60.3,2,2,0,7,2,1,1,8,2,0,2
168.7,61.3,3,2,1,5,1,1,2,9,0,0,0
170.3,64.0,2,3,2,5,3,3,1,10,0,0,0
178.6,52.6,2,3,1,4,2,1,2,2,1,1,1
178.5,60.9,2,2,0,6,1,2,1,5,1,0,1
166.9,61.0,2,0,1,6,3,1,0,0,0,1,1
175.1,68.9,2,2,1,4,3,1,1,0,1,0,0
177.6,67.3,1,2,0,4,2,1,3,8,0,0,0
171.1,64.4,2,0,3,5,2,2,1,10,1,0,0
171.2,72.4,3,5,1,4,3,1,0,8,2,0,2
179.3,59.5,3,2,1,5,1,1,0,0,1,1,0
174.9,54.9,1,5,2,3,1,1,0,0,0,0,2
175.1,65.7,0,3,1,6,1,1,1,9,2,0,1
172.1,68.1,2,1,1,3,3,1,1,0,0,1,0
171.9,68.1,1,2,3,4,2,0,2,0,3,1,2
174.4,61.3,0,3,1,6,1,0,1,0,2,0,1
168.1,65.7,2,0,3,6,1,1,1,0,1,0,1
169.6,59.1,2,3,3,4,3,1,0,6,0,0,0
178.1,69.0,1,2,3,5,2,3,0,0,1,0,0
172.9,71.8,2,3,0,5,1,1,2,0,1,0,0
181.3,66.5,3,2,3,5,3,1,1,0,1,0,0
171.8,60.5,1,0,1,4,3,1,0,0,0,0,0
169.2,61.3,2,2,1,6,3,1,1,0,1,1,1
175.8,58.1,3,0,1,6,1,0,0,5,0,1,1
177.0,63.8,3,1,1,6,1,1,0,0,0,0,1
176.9,73.4,2,5,1,6,1,2,1,0,1,0,2
168.9,67.2,2,2,1,5,3,1,1,4,1,0,0
169.5,61.2,2,2,1,6,1,0,1,0,0,0,1
177.7,66.4,1,0,1,4,1,1,1,0,0,1,0
172.3,66.1,1,2,1,6,1,1,2,0,0,0,1
173.5,61.8,2,1,3,6,3,1,1,0,0,0,1
180.8,62.2,3,2,0,5,3,0,2,0,1,0,0
174.6,63.5,1,0,1,6,1,0,2,8,0,0,1
170.0,69.8,2,2,0,7,1,2,2,0,1,2,2
169.8,59.3,1,2,3,7,3,3,1,3,2,0,2
167.1,65.4,1,2,1,6,3,2,0,4,0,1,1
170.5,67.9,2,2,3,5,3,0,0,0,2,0,1
171.2,58.8,2,2,1,4,2,0,1,8,1,0,0
173.6,64.5,1,0,1,5,3,1,1,6,0,1,0
170.9,65.3,1,0,3,5,2,1,1,10,2,0,1
173.6,58.5,3,2,1,6,3,1,0,0,3,0,2
172.4,64.7,2,3,0,5,1,1,0,0,2,1,1
174.9,64.8,1,2,1,4,2,1,1,0,0,0,0
169.8,58.9,3,4,1,4,2,0,0,0,1,1,1
177.7,66.5,2,3,1,5,3,0,1,0,1,0,0
175.2,62.3,2,3,3,5,3,1,0,0,2,1,1
171.4,60.3,2,4,1,4,1,0,0,4,1,0,1
179.0,58.3,3,3,1,6,3,0,1,0,1,0,1
169.8,75.1,1,2,1,4,2,2,2,10,1,1,0
176.0,64.3,1,2,0,6,3,0,0,0,2,0,1
171.6,64.2,2,1,1,4,1,0,0,0,1,1,0
177.4,63.7,4,3,1,6,1,1,1,0,1,0,1
174.1,62.0,2,2,3,5,2,1,2,0,0,0,0
182.7,60.1,1,2,3,4,2,1,0,10,1,0,0
170.5,63.4,1,0,3,4,1,1,1,3,0,0,0
172.5,64.8,2,0,1,3,2,1,1,0,0,1,0
172.9,58.6,2,0,1,5,1,1,2,9,1,0,0
171.5,65.6,3,4,1,6,2,1,1,6,1,0,1
172.2,62.4,1,3,1,6,3,1,1,0,0,1,1
176.9,54.5,2,0,0,5,3,2,1,0,2,0,1
172.2,65.4,1,1,2,4,2,1,0,0,1,0,0
172.3,62.7,2,4,1,5,1,0,0,0,3,0,2
176.7,70.5,2,2,3,6,3,3,1,0,0,0,1
170.3,65.6,1,2,1,4,1,2,1,0,1,0,0
178.6,68.6,1,4,1,5,1,0,1,3,2,0,1
158.5,66.1,2,0,2,5,3,2,2,2,1,0,0
171.0,62.1,0,1,2,5,2,0,1,1,0,0,0
177.4,55.6,1,2,1,6,3,0,1,0,1,0,1
168.2,63.2,1,1,1,4,1,2,3,0,0,1,0
178.8,54.1,2,2,3,6,1,1,0,2,0,0,1
166.9,59.0,3,2,0,3,1,1,2,6,1,0,0
176.3,69.8,2,5,3,6,2,0,0,0,0,0,2
185.9,57.0,3,2,1,5,3,1,0,0,0,0,0
175.2,69.8,2,2,0,4,1,3,0,0,2,1,1
176.2,69.2,3,2,1,7,3,2,1,0,1,0,2
171.7,72.4,1,1,1,3,1,1,3,0,0,0,0
166.0,68.4,0,1,3,5,2,0,1,0,0,0,0
174.5,65.1,3,2,0,5,2,0,3,8,0,0,0
178.4,72.4,2,2,1,5,1,3,1,0,1,0,0
163.7,68.4,1,2,3,6,3,1,0,0,0,0,1
179.3,71.0,1,0,1,6,2,0,1,0,1,2,1
175.2,67.2,3,2,1,6,1,0,3,0,3,0,2
176.8,64.0,1,0,3,4,2,3,0,0,0,0,0
176.9,62.8,3,1,1,2,1,1,1,0,0,0,0
173.1,61.7,2,2,1,5,2,0,0,0,0,0,0
176.9,67.5,2,0,1,5,1,1,1,0,0,0,0
171.3,64.0,0,2,1,6,3,0,1,10,1,0,1
168.6,66.4,1,1,1,4,1,0,1,0,2,0,1
171.1,67.1,1,4,0,5,1,1,0,3,1,1,1
172.7,66.4,2,2,3,5,2,0,1,0,0,0,0
175.9,62.6,1,2,1,5,1,1,0,5,1,1,0
174.8,69.4,2,2,1,6,1,1,2,0,0,0,1
179.1,64.1,3,0,1,4,3,1,0,0,1,0,0
176.4,61.0,0,1,1,7,2,1,2,7,1,0,2
174.0,61.4,1,0,1,5,1,0,1,8,1,0,0
180.1,67.9,2,4,3,2,3,1,1,0,1,1,1
179.8,69.9,1,2,1,3,3,1,1,0,0,0,0
178.7,61.8,3,2,1,5,3,0,0,0,1,0,0
175.2,58.5,3,2,3,5,2,2,0,0,1,0,0
173.1,62.8,1,1,1,4,2,0,1,0,1,0,0
172.2,62.6,2,2,1,5,2,0,1,7,1,0,0
184.0,70.4,2,0,2,6,1,0,3,0,2,0,2
176.4,70.6,2,0,0,3,2,2,1,0,1,1,0
178.1,56.8,2,5,1,7,3,1,1,0,2,1,2
172.3,64.6,4,2,3,7,1,2,1,6,0,1,2
173.9,60.5,2,2,1,5,3,1,2,10,1,0,0
182.3,63.1,1,3,3,2,3,1,0,9,1,1,0
167.1,66.7,3,0,1,7,2,0,0,0,2,1,2
166.5,63.9,1,3,0,6,1,0,1,0,0,0,1
168.2,75.2,2,2,1,4,1,1,2,0,1,0,0
170.3,59.8,2,4,0,5,3,1,0,8,0,0,1
173.9,65.7,1,4,1,4,3,0,1,6,1,0,1
165.8,60.8,2,3,0,4,2,1,1,4,3,0,2
173.7,75.3,2,0,1,6,3,2,1,3,0,0,1
175.5,54.0,3,0,1,4,1,1,1,0,0,0,0
174.8,63.1,2,3,3,4,1,2,0,0,0,1,0
168.3,64.5,3,4,1,5,3,0,2,6,2,1,1
172.2,58.4,2,2,1,4,2,3,0,8,1,0,0
170.6,71.0,2,1,1,4,2,1,2,3,1,0,0
172.9,54.6,3,1,3,5,2,0,2,10,1,0,0
